Reference;Value;footprint;Qty;Mouser Part Number
C1,C6,C7,C8;100nF 50V;0805;4;80-C0805C104Z5U
C2,C3;1uF;0805;2;603-CC805KFX7R7BB105
C4,C5;100nF;0805;2;187-CL21B104KBCNNNC
D1,D2,D3,D4;SK6812MINI;;4;
DS1,DS2;A1C;;2;606-A1C-T
NX1,NX2,NX3,NX4;IN-17 Nixie Tube;;4;
R1,R2,R8,R9;39k;0805;4;708-RMCF0805FT39K0
R4,R7;300k;0805;2;603-RC0805JR-07300KL
R5,R6;220k;0805;2;652-CR0805JW-224ELF
R21;10K;0805;1;71-CRCW0805-10K-E3
T1;Nixie Power Supply;;1;
U2,U3;HV5622PG-G;;2;689-HV5622PG-G
U4;CD4504BM;;1;595-CD4504BM
;WS2812;1010;60;
